expected,predicted,confidence,correct
f,F,0.4966,0
G,G,0.9236,1
p,P,0.6069,0
5,5,1.0,1
2,2,1.0,1
T,T,0.9983,1
t,t,0.8996,1
I,I,0.6395,1
h,h,1.0,1
Q,Q,0.9958,1
X,X,0.875,1
x,x,0.8621,1
j,J,0.6504,0
0,0,0.5786,1
I,I,0.9999,1
g,g,0.4151,1
s,S,0.8387,0
8,8,0.9999,1
h,h,0.9522,1
1,1,0.7083,1
B,B,0.9976,1
E,E,0.9435,1
q,q,0.8765,1
6,6,0.9999,1
7,7,0.9999,1
A,A,0.9889,1
M,M,0.695,1
z,z,0.6195,1
N,N,0.9796,1
2,2,1.0,1
m,M,0.7806,0
9,9,0.9257,1
j,j,0.5283,1
t,t,0.9997,1
Q,Q,0.9135,1
d,d,0.996,1
L,L,0.9664,1
A,A,0.979,1
g,g,0.9609,1
j,j,0.5532,1
I,I,0.649,1
O,O,0.7849,1
c,C,0.7356,0
e,e,1.0,1
C,C,0.7621,1
z,Z,0.7752,0
7,7,1.0,1
m,M,0.5505,0
l,l,0.6578,1
J,J,0.9891,1
I,1,0.6424,0
M,M,0.9848,1
w,w,0.7916,1
K,k,0.8352,0
u,U,0.7906,0
o,O,0.5367,0
p,p,0.5065,1
9,9,0.9724,1
E,E,0.7836,1
E,E,0.9992,1
O,O,0.8563,1
s,S,0.7247,0
E,E,0.946,1
2,2,1.0,1
p,p,0.5819,1
k,K,0.5948,0
R,R,0.9514,1
n,n,0.9986,1
f,F,0.78,0
h,h,0.9982,1
b,b,0.857,1
0,O,0.8173,0
J,J,0.9704,1
A,A,0.4314,1
V,V,0.3891,1
K,h,0.4302,0
E,E,0.8284,1
3,3,1.0,1
s,S,0.6259,0
b,b,0.9986,1
V,v,0.5981,0
N,N,0.9587,1
x,Y,0.2958,0
K,K,0.5412,1
G,6,0.8898,0
L,L,0.9805,1
2,2,1.0,1
l,l,0.6588,1
a,a,0.8127,1
s,S,0.7385,0
N,N,0.9781,1
V,V,0.6263,1
n,n,0.9997,1
S,S,0.884,1
P,P,0.9893,1
Y,Y,0.9616,1
f,F,0.6406,0
S,S,0.8938,1
j,j,0.9705,1
c,C,0.7013,0
1,1,0.6796,1
d,d,0.9985,1
Q,Q,0.999,1
A,A,0.9963,1
T,T,0.9918,1
e,e,0.9991,1
Z,z,0.4528,0
U,U,0.5539,1
S,S,0.8287,1
s,5,0.7041,0
6,6,0.9998,1
R,R,0.9881,1
9,9,0.9752,1
J,J,0.9648,1
3,3,1.0,1
M,M,0.7287,1
m,M,0.807,0
g,8,0.7888,0
D,D,0.9742,1
Q,Q,0.9054,1
L,L,0.9667,1
U,U,0.9625,1
I,I,0.967,1
0,0,0.715,1
7,7,0.9916,1
7,7,0.9998,1
a,a,0.4733,1
V,v,0.5011,0
i,l,0.3163,0
6,6,0.999,1
C,C,0.7566,1
Q,Q,0.3906,1
u,U,0.6892,0
O,0,0.5755,0
V,U,0.8646,0
t,t,0.9973,1
c,C,0.6858,0
M,M,0.6809,1
U,U,0.4806,1
x,X,0.6122,0
6,6,0.9825,1
2,2,1.0,1
k,r,0.4565,0
K,K,0.5303,1
Y,Y,0.9828,1
1,1,0.5816,1
R,R,0.9763,1
T,T,0.7565,1
l,1,0.5435,0
f,F,0.737,0
s,S,0.826,0
a,a,0.5045,1
O,O,0.7414,1
J,J,0.5705,1
N,N,0.9932,1
C,C,0.741,1
V,V,0.6879,1
h,h,0.999,1
9,9,0.9492,1
G,G,0.9925,1
B,B,0.9993,1
P,P,0.8145,1
q,q,0.5409,1
C,C,0.8146,1
V,V,0.518,1
6,6,0.9999,1
J,J,0.9857,1
n,n,0.9923,1
L,L,0.9824,1
9,9,0.9762,1
1,1,0.6596,1
s,S,0.5898,0
v,V,0.4671,0
7,7,0.9995,1
P,P,0.9227,1
K,K,0.6033,1
n,n,0.9945,1
u,U,0.7065,0
u,U,0.8614,0
1,1,0.7563,1
1,1,0.7798,1
v,V,0.675,0
Q,Q,0.9141,1
2,2,0.9612,1
O,0,0.7913,0
q,9,0.8575,0
J,J,0.9785,1
s,S,0.481,0
1,1,0.6954,1
d,d,0.9998,1
U,U,0.793,1
V,V,0.5407,1
r,r,1.0,1
b,b,0.9926,1
J,J,0.9849,1
U,U,0.7163,1
w,W,0.8645,0
n,n,0.9715,1
h,h,0.9943,1
t,t,0.9999,1
g,g,0.543,1
L,L,0.8984,1
Z,Z,0.7615,1
J,J,0.9981,1
y,Y,0.6225,0
E,E,0.9983,1
j,j,0.5288,1
O,0,0.6427,0
4,4,0.9903,1
t,t,0.9976,1
N,N,0.9543,1
E,E,0.9912,1
v,V,0.6812,0
x,X,0.6966,0
P,P,0.954,1
w,w,0.6838,1
i,1,0.4022,0
3,3,1.0,1
U,U,0.9785,1
D,D,0.4609,1
n,n,0.9996,1
G,G,0.9993,1
U,U,0.9313,1
N,N,0.9692,1
P,P,0.9775,1
A,A,0.9985,1
I,I,0.995,1
y,y,0.549,1
R,R,0.9044,1
c,C,0.7081,0
3,3,0.9986,1
5,5,0.9998,1
x,x,0.5799,1
W,W,0.9527,1
C,C,0.6764,1
1,1,0.8424,1
4,4,0.9984,1
9,9,0.8978,1
5,5,0.9999,1
g,9,0.7342,0
8,8,0.9924,1
p,P,0.6103,0
7,7,1.0,1
I,I,0.9978,1
n,n,0.9996,1
b,b,0.9874,1
8,8,0.999,1
c,C,0.6721,0
D,D,0.9996,1
7,7,0.9997,1
8,8,0.9933,1
W,W,0.5873,1
N,N,0.993,1
0,0,0.5902,1
F,F,0.7912,1
Y,Y,0.5747,1
C,C,0.6994,1
e,e,0.9999,1
z,2,0.8074,0
A,A,0.9737,1
A,A,0.9934,1
z,Z,0.5412,0
9,9,0.4978,1
y,V,0.5085,0
f,F,0.6332,0
P,P,0.7725,1
V,7,0.2212,0
W,w,0.5714,0
i,i,0.9094,1
R,R,0.9474,1
0,0,0.8265,1
F,F,0.9854,1
2,2,1.0,1
i,i,0.936,1
v,v,0.5356,1
O,O,0.6759,1
1,1,0.7005,1
Y,Y,0.866,1
H,H,0.8355,1
9,9,0.9709,1
7,7,1.0,1
K,K,0.8207,1
E,E,0.6643,1
T,T,0.9917,1
w,w,0.6774,1
B,B,0.6777,1
2,2,0.9514,1
Z,Z,0.7031,1
d,d,0.6582,1
e,e,0.9967,1
h,h,1.0,1
j,j,0.9831,1
s,S,0.4856,0
V,V,0.6615,1
g,g,0.6259,1
S,S,0.754,1
d,d,0.9694,1
m,M,0.7733,0
I,I,0.5872,1
B,B,0.9985,1
C,C,0.7345,1
w,w,0.6176,1
S,S,0.8495,1
R,R,0.994,1
J,J,0.9905,1
q,q,0.334,1
1,1,0.7483,1
r,r,0.9955,1
H,H,0.983,1
f,F,0.5886,0
T,T,0.8692,1
T,T,0.9282,1
r,r,0.9992,1
H,H,0.9948,1
V,V,0.4205,1
B,B,0.8846,1
W,W,0.915,1
S,S,0.9069,1
h,h,0.7232,1
0,O,0.544,0
S,S,0.8624,1
U,U,0.7466,1
F,F,0.794,1
I,1,0.726,0
D,0,0.4383,0
9,9,0.9552,1
D,D,0.9824,1
a,a,0.8639,1
K,K,0.8187,1
8,8,0.9999,1
l,1,0.6613,0
M,M,0.8619,1
a,a,0.8162,1
w,W,0.8887,0
w,w,0.6757,1
3,3,0.9999,1
u,w,0.4754,0
H,H,0.9859,1
G,G,0.9926,1
D,D,0.9801,1
u,U,0.8469,0
z,z,0.7674,1
4,4,0.9986,1
E,E,0.9969,1
V,v,0.4652,0
2,2,0.9342,1
F,F,0.9627,1
t,t,0.9998,1
W,w,0.5872,0
d,d,0.9999,1
j,j,0.9767,1
k,k,0.9775,1
7,7,0.9999,1
n,n,0.9988,1
a,a,0.9282,1
T,T,0.9976,1
s,S,0.8462,0
e,e,0.9951,1
s,9,0.6494,0
Z,2,0.4451,0
b,b,0.9907,1
K,K,0.7812,1
b,b,0.9545,1
i,g,0.3495,0
S,S,0.869,1
n,n,0.9994,1
a,a,0.6557,1
b,b,0.9933,1
i,i,0.5884,1
k,k,0.8771,1
c,C,0.6501,0
R,R,0.9927,1
C,C,0.7278,1
x,X,0.5727,0
2,2,0.9929,1
6,6,0.9969,1
D,D,0.708,1
S,S,0.8128,1
0,0,0.8077,1
h,h,1.0,1
R,R,0.9928,1
w,N,0.7096,0
n,n,0.9932,1
A,A,0.9971,1
4,4,0.9992,1
w,n,0.7858,0
u,U,0.8619,0
g,S,0.6425,0
c,C,0.6852,0
a,a,0.8008,1
U,U,0.9275,1
s,S,0.9015,0
b,b,0.9205,1
4,4,0.9866,1
t,t,0.9994,1
G,G,0.9985,1
X,x,0.6085,0
l,1,0.5907,0
m,M,0.6753,0
E,E,0.9983,1
V,V,0.7644,1
t,t,0.9946,1
m,M,0.7029,0
H,H,0.9937,1
d,d,0.9993,1
N,N,0.9898,1
3,3,0.9999,1
e,C,0.605,0
j,j,0.539,1
L,L,0.9673,1
c,C,0.7578,0
y,4,0.8839,0
W,W,0.9702,1
7,7,1.0,1
n,n,0.8222,1
t,t,0.9979,1
S,S,0.7748,1
M,M,0.7205,1
l,1,0.6681,0
b,b,0.8923,1
p,p,0.5596,1
v,y,0.4475,0
z,z,0.5231,1
4,4,0.9041,1
a,a,0.9772,1
Q,Q,0.8191,1
U,U,0.7546,1
D,O,0.3492,0
l,l,0.5378,1
R,R,0.9984,1
Q,Q,0.5178,1
L,L,0.9851,1
r,r,0.9974,1
0,0,0.7927,1
v,V,0.5121,0
c,C,0.7518,0
i,I,0.5384,0
B,B,0.9996,1
P,P,0.5331,1
v,V,0.5128,0
C,C,0.7124,1
l,I,0.5423,0
S,S,0.896,1
V,V,0.4456,1
O,0,0.7556,0
1,1,0.4461,1
w,w,0.5744,1
F,F,0.6901,1
5,5,0.9996,1
u,U,0.6937,0
z,z,0.8654,1
2,2,0.9,1
W,W,0.5681,1
L,L,0.9717,1
O,0,0.5959,0
i,i,0.8109,1
c,C,0.6856,0
q,q,0.5422,1
Z,Z,0.611,1
G,6,0.7684,0
S,S,0.8508,1
v,V,0.6313,0
x,x,0.6909,1
a,a,0.8754,1
Q,Q,0.9743,1
i,1,0.6119,0
m,M,0.7289,0
Z,z,0.6275,0
D,D,0.8725,1
c,C,0.7412,0
7,7,1.0,1
Q,Q,0.9926,1
W,W,0.9877,1
o,U,0.7722,0
F,F,0.6985,1
E,E,0.9992,1
o,O,0.4744,0
N,N,0.9636,1
u,U,0.9092,0
6,6,0.9857,1
h,h,0.9996,1
3,3,1.0,1
X,X,0.9321,1
o,0,0.4725,0
i,i,0.6967,1
a,a,0.9885,1
q,q,0.4286,1
3,3,0.9998,1
B,B,0.8786,1
E,E,0.9014,1
e,e,0.9993,1
D,D,0.9995,1
H,H,0.9983,1
p,P,0.5718,0
y,Y,0.722,0
i,1,0.7871,0
Y,Y,0.832,1
H,H,0.9556,1
b,b,0.9934,1
C,C,0.7896,1
5,5,0.9972,1
W,w,0.6273,0
4,4,1.0,1
l,1,0.618,0
H,H,0.5342,1
2,2,0.9996,1
n,n,0.9998,1
P,P,0.7598,1
9,9,0.9781,1
B,B,0.9997,1
H,H,0.997,1
4,4,0.9998,1
Z,Z,0.4358,1
s,S,0.7896,0
v,V,0.6582,0
b,b,0.9231,1
c,C,0.662,0
I,I,0.9995,1
H,H,0.907,1
m,M,0.541,0
k,K,0.4545,0
h,h,0.9998,1
F,F,0.9402,1
J,J,0.9701,1
m,M,0.7585,0
v,U,0.6812,0
U,U,0.9785,1
X,X,0.7826,1
2,2,0.9999,1
i,1,0.6457,0
o,0,0.714,0
O,O,0.4792,1
e,e,0.9995,1
w,w,0.7705,1
L,L,0.939,1
3,3,0.9998,1
U,U,0.8631,1
R,R,0.9576,1
H,H,0.9996,1
D,D,0.9925,1
n,n,0.9997,1
w,w,0.6232,1
Z,Z,0.9114,1
E,E,0.9973,1
k,k,0.8601,1
W,W,0.9425,1
p,e,0.9992,0
6,6,1.0,1
r,r,0.9885,1
N,N,0.967,1
J,J,0.9989,1
u,U,0.7025,0
z,z,0.6544,1
q,9,0.4286,0
R,R,0.9641,1
0,O,0.7673,0
c,C,0.712,0
q,q,0.533,1
w,H,0.6542,0
q,q,0.5397,1
a,a,0.8185,1
L,L,0.9027,1
L,L,0.808,1
D,D,0.9132,1
E,E,0.9979,1
H,H,0.8996,1
N,N,0.9941,1
I,1,0.5445,0
D,D,0.9907,1
w,w,0.909,1
2,2,0.9942,1
C,C,0.7693,1
d,d,1.0,1
k,K,0.7997,0
H,H,0.9961,1
z,2,0.8641,0
G,G,0.9946,1
y,Y,0.6247,0
k,k,0.4572,1
Y,Y,0.936,1
l,1,0.6923,0
K,K,0.8442,1
y,y,0.6393,1
9,9,0.9779,1
0,0,0.7081,1
p,P,0.5893,0
c,C,0.8327,0
8,8,0.9852,1
N,N,0.7112,1
8,8,0.9989,1
F,F,0.89,1
5,5,0.9996,1
1,1,0.613,1
C,C,0.8168,1
U,U,0.9916,1
J,J,0.9904,1
G,G,0.8817,1
5,5,0.9989,1
M,M,0.9839,1
S,S,0.9067,1
7,7,0.9999,1
1,1,0.5437,1
H,H,0.9982,1
E,E,0.9986,1
m,M,0.6489,0
p,p,0.6121,1
q,q,0.8298,1
F,F,0.9546,1
y,Y,0.7054,0
C,C,0.6956,1
t,t,0.9164,1
P,P,0.8519,1
0,0,0.6916,1
A,A,0.9991,1
y,U,0.4441,0
q,9,0.9844,0
U,U,0.9808,1
W,W,0.9408,1
s,S,0.9016,0
8,8,0.9998,1
8,8,0.9987,1
f,F,0.7553,0
L,L,0.9883,1
7,7,1.0,1
q,q,0.7811,1
n,N,0.96,0
I,1,0.6373,0
O,0,0.5111,0
t,t,1.0,1
B,B,0.9992,1
V,V,0.5652,1
l,1,0.4898,0
5,S,0.8076,0
W,W,0.9102,1
R,R,0.9554,1
1,1,0.8972,1
1,1,0.6451,1
w,w,0.5187,1
o,0,0.6873,0
6,6,0.9989,1
z,Z,0.6462,0
9,9,0.9887,1
0,O,0.7614,0
3,3,1.0,1
P,P,0.8675,1
x,x,0.6317,1
p,P,0.5087,0
J,J,0.678,1
G,G,0.9768,1
D,D,0.6396,1
h,h,0.9799,1
l,1,0.53,0
c,C,0.7586,0
H,2,0.6807,0
e,e,0.9971,1
N,N,0.9971,1
p,P,0.6284,0
O,O,0.6177,1
w,w,0.6493,1
H,H,0.9843,1
8,8,0.9999,1
f,F,0.6548,0
H,H,0.9959,1
s,S,0.8187,0
b,b,0.8144,1
l,1,0.6955,0
D,D,0.9983,1
k,U,0.4401,0
x,X,0.6792,0
d,d,1.0,1
t,t,0.9956,1
S,S,0.6524,1
x,X,0.7279,0
Z,Z,0.5924,1
v,v,0.6461,1
y,Y,0.7148,0
3,3,1.0,1
X,X,0.687,1
X,X,0.7217,1
1,1,0.4681,1
A,A,0.9975,1
R,R,0.9973,1
y,Y,0.7235,0
i,i,0.9915,1
f,F,0.75,0
z,2,0.638,0
K,K,0.6249,1
x,x,0.5815,1
k,k,0.7535,1
r,r,0.9899,1
l,l,0.6957,1
e,e,0.993,1
4,4,1.0,1
w,W,0.5879,0
t,t,0.9873,1
L,L,0.981,1
9,9,0.9422,1
X,X,0.5749,1
c,C,0.7195,0
s,S,0.6164,0
4,4,0.9997,1
b,b,0.9971,1
j,j,0.514,1
t,t,0.9956,1
V,V,0.507,1
Y,Y,0.8416,1
U,U,0.8958,1
y,Y,0.7372,0
x,x,0.5172,1
X,X,0.6924,1
E,E,0.9961,1
o,0,0.8386,0
w,w,0.7989,1
H,H,0.9805,1
h,L,0.608,0
X,X,0.7748,1
2,2,0.691,1
p,P,0.5638,0
9,9,0.9686,1
D,D,0.9992,1
2,2,1.0,1
j,j,0.9744,1
j,j,0.5147,1
i,i,0.6858,1
2,x,0.1733,0
M,M,0.7567,1
o,t,0.1174,0
g,g,0.9749,1
6,6,0.9441,1
W,W,0.8222,1
D,D,0.5948,1
0,0,0.8347,1
A,t,0.2886,0
y,y,0.5759,1
5,5,0.9572,1
o,O,0.734,0
B,B,0.9953,1
H,H,0.9869,1
1,1,0.6602,1
n,n,0.9789,1
4,4,1.0,1
L,L,0.9874,1
N,N,0.9417,1
c,C,0.7788,0
3,3,0.9994,1
Y,Y,0.5143,1
j,i,0.624,0
z,2,0.675,0
7,7,1.0,1
8,8,0.9999,1
F,F,0.9625,1
X,X,0.9128,1
Y,Y,0.7853,1
8,8,1.0,1
A,A,0.9968,1
i,i,0.9665,1
U,U,0.73,1
Q,Q,0.9867,1
S,S,0.9,1
g,g,0.3589,1
U,U,0.8045,1
1,1,0.6646,1
B,B,0.9267,1
K,k,0.5072,0
Z,Z,0.7355,1
F,F,0.6543,1
S,S,0.8112,1
W,W,0.7618,1
O,O,0.7515,1
T,T,0.9821,1
o,0,0.7541,0
i,I,0.504,0
i,1,0.7035,0
R,R,0.9932,1
i,1,0.4708,0
5,S,0.6765,0
A,A,0.9916,1
B,B,0.9993,1
p,P,0.8785,0
k,k,0.6554,1
R,R,0.9905,1
g,g,0.3974,1
2,2,0.6138,1
u,U,0.7459,0
F,F,0.9575,1
p,P,0.5754,0
4,4,0.9995,1
a,a,0.9856,1
w,w,0.9388,1
z,z,0.7629,1
q,9,0.6241,0
o,O,0.2122,0
H,N,0.6661,0
c,a,0.8085,0
g,g,0.5186,1
c,e,0.8883,0
D,D,0.9995,1
k,K,0.8448,0
K,K,0.5516,1
7,7,0.9999,1
Q,Q,0.9989,1
h,h,0.9969,1
Q,Q,0.6493,1
8,8,0.9982,1
Y,Y,0.8815,1
8,8,0.984,1
d,d,0.9959,1
C,C,0.7214,1
o,O,0.5721,0
b,b,0.9868,1
K,K,0.9348,1
G,G,0.9988,1
q,q,0.4648,1
5,5,0.9955,1
I,1,0.6653,0
U,U,0.8393,1
V,V,0.5014,1
f,F,0.6788,0
d,d,0.9973,1
z,2,0.5399,0
i,6,0.8049,0
F,F,0.7165,1
N,N,0.9759,1
u,U,0.9767,0
c,C,0.7756,0
g,9,0.8662,0
e,e,0.9997,1
r,r,0.9994,1
e,e,0.9999,1
n,n,0.9992,1
P,P,0.6261,1
P,P,0.8883,1
b,b,0.9987,1
S,S,0.7269,1
y,4,0.5651,0
i,I,0.3417,0
K,K,0.9018,1
x,x,0.9111,1
K,K,0.7772,1
z,z,0.7085,1
I,1,0.5844,0
b,b,0.7077,1
1,l,0.4639,0
e,e,0.9997,1
4,4,0.9966,1
P,P,0.6481,1
h,h,0.9945,1
I,l,0.3439,0
8,8,0.9999,1
d,d,0.9976,1
m,M,0.4545,0
Y,Y,0.9011,1
8,8,0.9995,1
A,A,0.9987,1
r,r,0.9999,1
n,n,0.9701,1
5,5,0.9778,1
K,K,0.899,1
x,x,0.8009,1
r,r,0.9987,1
R,P,0.3594,0
Y,Y,0.9288,1
j,j,0.9524,1
M,M,0.9918,1
c,C,0.6737,0
u,U,0.6113,0
D,D,0.4723,1
y,4,0.6036,0
f,F,0.6362,0
V,V,0.5297,1
w,w,0.8075,1
o,0,0.5711,0
O,0,0.5092,0
Z,2,0.8887,0
M,M,0.6843,1
u,U,0.7859,0
I,l,0.452,0
s,S,0.5321,0
j,1,0.3853,0
E,E,0.9997,1
D,0,0.6268,0
u,U,0.7098,0
X,X,0.921,1
q,9,0.6017,0
K,K,0.7611,1
C,C,0.7488,1
c,C,0.7127,0
0,O,0.5543,0
M,M,0.998,1
M,M,0.6678,1
1,1,0.5664,1
G,G,0.9853,1
q,q,0.5007,1
W,W,0.9547,1
n,n,0.9829,1
V,v,0.4104,0
f,F,0.8232,0
U,U,0.764,1
I,1,0.508,0
h,h,1.0,1
T,T,0.9038,1
I,I,0.5145,1
m,M,0.7394,0
b,b,0.6385,1
e,e,0.9931,1
b,b,0.9269,1
9,9,0.944,1
Z,Z,0.9358,1
w,N,0.7095,0
M,M,0.8841,1
9,9,0.7775,1
V,v,0.385,0
Y,Y,0.5552,1
B,B,0.7932,1
R,R,0.9699,1
o,0,0.6408,0
D,D,0.9366,1
o,O,0.6525,0
y,y,0.5948,1
r,r,1.0,1
g,g,0.9715,1
J,J,0.9973,1
K,K,0.8703,1
t,t,0.9959,1
0,O,0.7513,0
d,d,0.9999,1
P,P,0.8874,1
V,V,0.9434,1
y,Y,0.8209,0
F,F,0.9698,1
E,E,0.9993,1
W,W,0.8638,1
l,1,0.392,0
H,H,0.9973,1
